number,igsn,traintext,iSampleMaterial
81874,NEON00I9A,NEO | WOOD_004.S.20180904.IB.03 [ 286727 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch from a beetle trap | Invertebrate Bycatch,mat:organicmaterial
81891,NEON00HJW,NEO | WOOD_005.E.20140604.IB.01 [ 266380 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch from a beetle trap | Invertebrate Bycatch,mat:organicmaterial
81892,NEON00HKB,NEO | WOOD_005.E.20140702.IB.01 [ 266422 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch from a beetle trap | Invertebrate Bycatch,mat:organicmaterial
81934,NEON00HJO,NEO | WOOD_007.W.20140604.IB.01 [ 266356 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch from a beetle trap | Invertebrate Bycatch,mat:organicmaterial
81946,ODP010BW7,"ODP | Core 116-719A-8X | Core | collection: Coring. X: The XCB is designed to recover core samples from soft to medium formations.  Typically, the XCB is deployed upon APC refusal, ie., when a formation becomes too stiff to piston core. The XCB relies on rotation of the drill string to advance the hole and cut | ODP Leg 116 | platform: Ship, Joides Resolution",mat:rockorsediment
81992,NEON02I6X,NEO | WREF_005.S.20190507.IB.01 [ 730215 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch from a beetle trap | Invertebrate Bycatch,mat:organicmaterial
82016,ODP010C53,"ODP | Core 117-722A-19X | Core | collection: Coring. X: The XCB is designed to recover core samples from soft to medium formations.  Typically, the XCB is deployed upon APC refusal, ie., when a formation becomes too stiff to piston core. The XCB relies on rotation of the drill string to advance the hole and cut | ODP Leg 117 | platform: Ship, Joides Resolution",mat:rockorsediment
82253,IEEXG01DT,IEEXG | K011_AA | Individual Sample | Subsample of EC1_K011_WATER_15ML_FILT | EXCHANGE Campaign 1,mat:liquidwater
82256,IECJCGP36,IECJC | OR_Pit2_52cm_OR2L52-013 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 2 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82260,IEEXG01E0,IEEXG | K012_CDOM | Individual Sample | Subsample of EC1_K012_WATER_40ML_FILT | EXCHANGE Campaign 1,mat:liquidwater
82276,IECJCGO87,IECJC | OR_Pit3_38cm_OR3L38-029 | Oracle Ridge Soil Pedon 3 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82281,IECJCGP37,IECJC | OR_Pit3_38cm_OR3L38-034 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 3 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82315,IECJCGW91,IECJC | OR_Pit4_39cm_OR4L39-016 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 4 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82317,IECJCGX83,IECJC | OR_Pit4_39cm_OR4L39-018 | Oracle Ridge Soil Pedon 4 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82320,IECJCGO90,IECJC | OR_Pit5_63cm_OR5L63-003 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 5 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82377,IECJCGR56,IECJC | OR_Pit7_49cm_OR7L49-026 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 7 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82385,IECJCGO94,IECJC | OR_Pit8_51cm_OR8L51-017 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 8 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
82457,IEJAA005B,IEJAA | U1417E-36R-2W_ 7-9 cm | | Tephra in deep sea sediment | depth 7-9 cm | agenumeric: 17.1332-17.1332 Ma | Sea | Pacific Ocean | IODP Expedition 341 | Develop Gulf of Alaska Neogene-to-Recent sedimentary record using volcanic tephra,mat:sediment
82461,IEJAA0060,IEJAA | U1418F-60R-2W_ 4-6.5 cm | | Tephra in deep sea sediment | depth 4-6.5 cm | agenumeric: 1.027-1.027 Ma | Sea | Pacific Ocean | IODP Expedition 341 | Develop Gulf of Alaska Neogene-to-Recent sedimentary record using volcanic tephra,mat:sediment
82500,IENWUC388,IENWU | 20160628_WLS2_SO_Archive3_20_30cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
82524,IENWUC517,IENWU | 20160629_WLS3_SO_Archive2_10_20cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
82547,IENWUC589,IENWU | 20160629_WLW5_SO_Archive9_80_90cm | Pristine Prairie | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Soil characterization,mat:soil
82640,IEREY004G,IEREY | JD 1650S Plot 10 IP 10-20 | Terrestrial Section | Johnston Draw 1650 m Elevation S Aspect Sample Inter-Plant 10-20 cm level | depth 10-20 cm | Subwatershed  | Johnston Draw | Soil Sample | Reynolds Critical Zone Observatory (CZO),mat:soil
82750,JMR00003H,JMR | YKDT88-R2 | | Other>Igneous>Volcanic | glassy rind; Thin section description: microporphyric fine-grained ol -opx basalt | WGS84 | forearc rift | SE Mariana forearc rift | pillowed ol-cpx basalt | YK10-12 | platform: Ship_ Yokosuka,mat:rock
82779,IEEXG01TU,IEEXG | K075_TSS | Individual Sample | Subsample of EC1_K075_WATER_1L_UNFILT | EXCHANGE Campaign 1,mat:liquidwater
82816,IEEXG01UX,IEEXG | K079_APS_W | Individual Sample | Subsample of EC1_K079_WETLAND_BAG | EXCHANGE Campaign 1,mat:liquidwater
82835,NHB006ET3,NHB | NMNH 116122-352 (PET) | | Rock>Igneous | Bullfrog Pluton | Searched google for the Bubbs Creek Trail and found where it intersects with East Creek. | Locality Key: Sierra Nevada - Bullfrog Pluton; 500 M E Of East Creek Jct | Aplite,mat:rock
82967,EOI0000B6,EOI | S42-Geo-12 | | S42-Geo-12 Rock holding the barnacles.  Located above the snail grave yard on the south inside rim of the cone. | Mariana Back-arc | Mariana Back Arc:Hafa Adai | Rim above graveyard | FK161129 | launch: SuBastian_ 2,mat:rock
82973,FB200003F,FB2 | Megacore B CRS 1143 | Core | Continental shelf | West Antarctic Peninsula_ Southern Ocean | NBP0808 | platform: Ship_ Nathaniel B. Palmer | Species identification_ abundance and biodiversity & sediment chemistry (Chla_ ATP & EHAA),mat:organicmaterial
82986,IEEXG01ZQ,IEEXG | K098_APS_T | Individual Sample | Subsample of EC1_K098_TRANSITION_BAG | EXCHANGE Campaign 1,mat:liquidwater
83289,MGD000B1N,MGD | ABEnet2 | | Location=in (partial_ shallow); Net cast # = 0002; Collection depth (m) = 1828-1926; Mesh size = 150 m mesh ; Date/time is local. | geologicage: Not Applicable | BackarcBasin | Lau | TUIM05MV | platform: Ship_ Melville,mat:organicmaterial
83292,IEFRA01LR,IEFRA | MD04-2802CQ | Core | 4.46 | sea | Mer  d'Alboran | PRIVILEGE,mat:rockorsediment
83340,NEON029I2,NEO | SRER.20190509.256526.H [ 474281 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Chaetodipus penicillatus (Woodhouse_ 1852),mat:organicmaterial
83411,NEON029EA,NEO | SRER.20191006.256243.H [ 474145 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Chaetodipus penicillatus (Woodhouse_ 1852),mat:organicmaterial
83754,IEMRS006L,IEMRS | ACR1-Atop-B | Specimen | | Biology>Macrobiology | Best preserved of roadcut | Vertical Error (1Ïƒ) = 0.06 | agenumeric: 4.8-5.28 Ma | Outcrop | Fossil shoreline | Roadcut with different units | Roadcut | Ostrea sp.  | Sr-dating,mat:biogenicnonorganicmaterial
83778,IENWUC745,IENWU | 20160630_WLS5_SO_Micro10_90_100cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
83785,IENWUD026,IENWU | 20160705_WLS6_SO_Chem10_90_100cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 10 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
83786,IENWUD006,IENWU | 20160705_WLS6_SO_Micro10_90_100cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
83837,IEGAZ001F,IEGAZ | CUR-20 | Individual Sample | Rock>Igneous>Volcanic>Mafic,mat:rock
83913,ODP010NZX,"ODP | Hole 161-975B | Hole | collection: Coring. Coring method varies along hole length | Length: 317.1m | ODP Leg 161 | platform: Ship, Joides Resolution",xxx
83951,NEON032VU,NEO | PLA.GRSM.20190424.10:31.MWE.V016 [ 783440 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Plant vouchers for the domain reference herbaria and for the external archive | Ranunculus recurvatus Poir.,mat:organicmaterial
84147,ODP010P8K,"ODP | Core 165-998A-26X | Core | collection: Coring. X: The XCB is designed to recover core samples from soft to medium formations.  Typically, the XCB is deployed upon APC refusal, ie., when a formation becomes too stiff to piston core. The XCB relies on rotation of the drill string to advance the hole and cut | ODP Leg 165 | platform: Ship, Joides Resolution",mat:rockorsediment
84207,DSR000ETV,DSR | VM32-130PC_340cm | Core Piece | collection: Coring>PistonCorer. Discrete sample from a  Core | 5 | cc | Archive | depth 340-341 cm | ocean surface pH in and investigate changes in oceanic carbon sink during the last deglaciation,mat:sediment
84290,IECJCK473,IECJC | AZ_G1635-OR_Pit1-71cm | | collection: CeramicCup. Ceramic Cup Lysimeter | 8 | mL | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 1 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
84351,IENWUD262,IENWU | 20160627_WLW11_SO_Micro6_50_60cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
84428,IEREY00G2,IEREY | WH 1650S Plot 115 P 5-10 | Terrestrial Section | Whiskey Hills 1650 m Elevation S Aspect Sample Under-Plant 5-10 cm level | depth 5-10 cm | Subwatershed  | Whiskey Hills | Soil Sample | Reynolds Critical Zone Observatory (CZO),mat:soil
84452,IEDUT10J6,KR143_B2L | Powder | | collection: Manual. Hand-held drill | 0.02 | g | Mineral>Coral | Acropora palmata | Reef | Lower reef tract | XE2 Keeper's Room | Xcaret | On the property of Xcaret_ a nature theme park; see location description,mat:biogenicnonorganicmaterial
84531,NEON039QK,NEO | BLDE.20200830.SURBER.3.ARC [ 788446 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of a macroinvertebrate sample sent to facility for genetic barcoding | Bulk Aquatic Macroinvertebrates,mat:organicmaterial
84654,NEON00X2M,NEO | MLBS_002.E.20170822.PLEMON.01 [ 244000 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch from a beetle trap | Plethodon montanus Highton and Peabody_ 2000,mat:organicmaterial
84655,NEON00X2V,NEO | MLBS_002.E.20170905.PLEMON.01 [ 244026 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch from a beetle trap | Plethodon montanus Highton and Peabody_ 2000,mat:organicmaterial
84736,NEON0068K,NEO | STEI_004.20170906.PTEMEL.01 [ 237966 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus melanarius melanarius Illiger,mat:organicmaterial
84745,NEON0067A,NEO | STEI_005.20170726.PTEMEL.01 [ 237920 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus melanarius melanarius Illiger,mat:organicmaterial
84753,NEON00659,NEO | STEI_006.20160720.PTEMEL.01 [ 237506 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus melanarius melanarius Illiger,mat:organicmaterial
84770,NEON00WUX,NEO | TREE_001.20160809.ANAAME.01 [ 237529 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch and sent to archive facility | Anaxyrus americanus (Holbrook_ 1836),mat:organicmaterial
84846,NHB007JKA,NHB | NMNH 118018-80 (PET) | | Rock>Igneous | Deadman Lake Volcanic Field  |  from E flank of 'Siberia Crater_' the small extension of agglomerate and agglutinate from SW flank of main Dish Hill cone | Olivine websterite with pyroxene,mat:rock
84855,NHB0081EV,NHB | NMNH 118293-5 (PET) | | Mineral>Dolomite  |  Southeast side of Peanut Lake on ridgecrest in limestone unit; Second set of samples (2G-2R) collected along strike across limestone unit ~60m SE of samples 2A-2F | Siliceous dolomite,mat:mineral
84954,ODP010XN2,"ODP | Core 190-1178B-25R | Core | collection: Coring. R: The RCB is designed to recover core samples from medium to hard formations.  The RCB relies on rotation of the drill string to advance the hole and cut the core.  The core bit trims the sample. | ODP Leg 190 | platform: Ship, Joides Resolution",mat:rock
84978,PRR041992,PRR-41992 | | 2767 | g | Rock>Igneous | Areas with subhorizontal dikes a few inches thick cut by 2 subhorizontal zones of extensive fracturing.  Biotite rich coarse material from just below upper zone. | Peninsula Staines | Mafic dike,mat:rock
85121,IEAEM00CG,IEAEM | FS-193-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85135,IEAEM00EF,IEAEM | FS-209-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85151,IEAEM00A1,IEAEM | FS-229-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85161,IEAEM007Y,IEAEM | FS-305-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85173,IEAEM007I,IEAEM | FS-318-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85192,IEAEM00A9,IEAEM | FS-339-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85204,IEAEM0083,IEAEM | FS-352-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
85324,IECJCGK25,IECJC | OR_Pit8_51cm_OR-108 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 8 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
85372,IEMRS002D,IEMRS | CR_MDU_1A | Specimen | | Biology>Macrobiology>Coral | Coral inJurabi Reef | Age of Jurabi Terrace | geologicage: Pleistocene Jurabi Terrace | reef | Cape Range | Vertical Error (1Ïƒ) = 0.093 | Mandu Mandu | Coral | Sr-Isotope,mat:biogenicnonorganicmaterial
85373,IEMRS002E,IEMRS | CR_MDU_1B | Specimen | | Biology>Macrobiology>Coral | Coral inJurabi Reef | Age of Jurabi Terrace | geologicage: Pleistocene Jurabi Terrace | reef | Cape Range | Vertical Error (1Ïƒ) = 0.087 | Mandu Mandu | Coral | Sr-Isotope,mat:biogenicnonorganicmaterial
85397,IENWUC094,IENWU | 20160627_WLS1_SO_Micro9_80_90cm | Pristine Prairie | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Soil characterization,mat:soil
85448,IENWUC302,IENWU | 20160628_WLW3_SO_Chem2_10_20cm | Pristine Prairie | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 10 | g | Prairie | Gensburg-Markham-Prairie | Soil characterization,mat:soil
85490,IENWUC479,IENWU | 20160629_WLS3_SO_Micro4_30_40cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
85629,IENWUD086,IENWU | 20160705_WLS7_SO_Chem5_40_50cm | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 10 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
85723,IEXEN003N,IEXEN | CG-29 | Thin Section | | Rock>Xenolithic>Igneous>Plutonic>Ultramafic | Inequigranular. Breakdown rims around spinel. Little alteration. | volcanic neck | Cerro de Guadalupe | Cerro de Guadalupe | spinel lherzolite | petrology,mat:rock
85768,MGD0008VW,MGD | J2-445-3-R1 | | Biology>Microbiology | Spire from Gilbert's folly into port forward CP | geologicage: Not Applicable | VentField | Lau:N-ELSC:TahiMoana | TN236 | platform: Ship_ Thomas G. Thompson | launch: Jason II_ 2 | J2-445,mat:material
85845,NEON02YYF,NEO | FSH.BIGC.01.20190422.3.0010 [ 760076 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual fish identified as a target taxon and collected as a voucher specimen | Salmo trutta Linnaeus_ 1758,mat:organicmaterial
85850,NEON010UF,NEO | FSH.BIGC.07.20181018.1.0021 [ 257762 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual fish identified as a target taxon and collected as a voucher specimen | Salmo trutta Linnaeus_ 1758,mat:organicmaterial
85860,NEON02MWR,NEO | GEN.NOGP.20190702.14:14 [ 731979 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Leaf tissue samples for the external archive (no NEON analysis completed on these samples) | Bromus inermis Leyss.,mat:organicmaterial
85885,NEON0083A,NEO | HARV_002.20170621.SPHSTE1.01 [ 276049 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Sphaeroderus stenostomus lecontei Dejean,mat:organicmaterial
86123,EOI0000H7,EOI | S91-gas-18-GT12 | | collection: gas tight bottle. yellow-green | S91-gas-18. Gas tight from Low Smoker where fluid-17 taken.   | seamount | Mata Tolu |  LowSmoker | NE Lau Basin | FK171110 | platform: ROV_ Subastian | research,mat:gas
86170,IEAEM00AQ,IEAEM | FS-59-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
86172,IEAEM00AK,IEAEM | FS-61-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
86193,IEAEM00BR,IEAEM | FS-86-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
86245,IECJCGJ59,IECJC | OR_Pit1_71cm_OR-16 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 1 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
86260,IECJCGK10,IECJC | OR_Pit3_38cm_OR-87 | Liquid | | collection: Ceramic Cup. Ceramic Cup Lysimeter | Soil solution | Mountain | Santa Catalina Mountains | Oracle Ridge | Oracle Ridge Soil Pedon 3 | Catalina-Jemez Critical Zone Observatory (CZO),mat:liquidwater
86338,IENWUC541,IENWU | 20160629_WLW5_SO_Micro1_0_10cm | Pristine Prairie | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 2 | g | Prairie | Gensburg-Markham-Prairie | Soil characterization,mat:soil
86350,ODP0116KD,"ODP | Section Half 4-24*-4R-5-A | Core Section Half | DSDP Leg 4 | platform: Ship, Glomar Challenger",mat:rockorsediment
86493,NEON02GS6,NEO | BART_066.20150730.PTELAC2.01 [ 734633 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus lachrymosus (Newman_ 1838),mat:organicmaterial
86509,NEON0083T,NEO | BART_068.20170517.PTEPEN.01 [ 276078 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus pensylvanicus LeConte_ 1873,mat:organicmaterial
86544,NEON02GQ2,NEO | BART_080.20150603.PTELAC2.01 [ 734557 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus lachrymosus (Newman_ 1838),mat:organicmaterial
86570,NEON00881,NEO | BART_081.20170517.PTEPEN.01 [ 276453 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus pensylvanicus LeConte_ 1873,mat:organicmaterial
86581,NEON02H44,NEO | DSNY_005.E.20140514.GASCAR.01 [ 734544 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch from a beetle trap | Gastrophryne carolinensis (Holbrook_ 1835),mat:organicmaterial
86588,NEON00XNW,NEO | DSNY_016.W.20170822.GASCAR.01 [ 291675 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch from a beetle trap | Gastrophryne carolinensis (Holbrook_ 1835),mat:organicmaterial
86743,NEON03FOS,NEO | PRIN.20201105.CORE.2.ARC [ 789571 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of a macroinvertebrate sample sent to facility for genetic barcoding | Bulk Aquatic Macroinvertebrates,mat:organicmaterial
86834,NEON01CMC,NEO | SRER.20191005.256156.F [ 461070 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal for physiological analyses | Chaetodipus penicillatus (Woodhouse_ 1852),mat:organicmaterial
86919,PRR005644,PRR | PRR-05644 | | Rock>Sedimentary | Era: Mesozoic/; Period: Triassic;  | Central Transantarctic Mountains_ Beardmore Glacier | SW face of Kenyon Peaks. Measured stratigraphic section. See dissertation for more information. | grit,mat:rock
87108,IEAEM00C2,IEAEM | P-36-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
87180,ODP011C0R,"ODP | Section 6-59B-2R-1 | Core Section | DSDP Leg 6 | platform: Ship, Glomar Challenger",mat:rockorsediment
87289,MGD0002VO,MGD | CTD-911-079 | | Location=on-axis; Sample size = 200ml; Niskin collection for CTD salinity calibrations and SF6 background measurement. | geologicage: Not Applicable | RidgeSegment | EPR:9N | AT15-12 | platform: Ship_ Atlantis,mat:liquidwater
87388,NEON029MD,NEO | BLAN.20190828.R4047.H [ 474436 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
87489,NEON00UBV,NEO | CPER_008.N.20160811.CRADUB.01 [ 240239 ] | Biology>Macrobiology | Cratacanthus dubius (Palisot de Beauvois_ 1811) | Specimen | | collection: Manual. PreservedSpecimen | Subsample of Carabid adults collected from a beetle trap,mat:organicmaterial
87504,NEON02FNW,NEO | CPER_010.W.20140731.CRADUB.01 [ 735962 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected from a beetle trap | Cratacanthus dubius (Palisot de Beauvois_ 1811),mat:organicmaterial
87683,ODP011EBY,"ODP | SubSection 7-65A-4R-1-1C (0-100 cm.) | Core Sub-Piece | Core | DSDP Leg 7 | platform: Ship, Glomar Challenger",mat:rockorsediment
87701,NEON03FG4,NEO | KONZ.20200617.L4571.H [ 797837 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
87716,NEON03FCK,NEO | KONZ.20200618.R4594.H [ 797709 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
87952,NEON005DL,NEO | MOS.D01.000405; HARV_073.20140918.0734 [ 319672 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of individual mosquitoes preserved as vouchers | Uranotaenia sapphirina (Osten Sacken_ 1868),mat:organicmaterial
88041,ODP011GT1,"ODP | Section Half 8-74*-2R-3-W | Core Section Half | DSDP Leg 8 | platform: Ship, Glomar Challenger",mat:rockorsediment
88122,NEON02ELD,NEO | ORNL.20190925.R3363.H [ 730965 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
88203,NEON029NN,NEO | SCBI.20190503.R3644.H [ 474482 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
88318,NEON018P8,NEO | SRER.20180717.256494.F [ 297941 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal and frozen at -80 degrees Celsius | Chaetodipus penicillatus Woodhouse,mat:organicmaterial
88329,NEON018JV,NEO | SRER.20180720.256526.F [ 297748 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal and frozen at -80 degrees Celsius | Chaetodipus penicillatus Woodhouse,mat:organicmaterial
