,igsn,traintext,iSampleMaterial
11756,ODP02O4K9,"ODP | Sample 175-1078C-1H-6 (17.5-18.5 cm.) | Individual Sample | Janus sample_id: 173597 | ODP Leg 175 | platform: Ship, Joides Resolution",11
720,IEMSS000Z,IEMSS | CAN18-18 | Other | collection: Suspended sediment. modified horizontally-mounted ~5.1 L Niskin bottle | Suspended river sediment_ filtered water | river | Mackenzie River | Tsiigehtchic | CAN18 | Investigating the riverine export of organic and inorganic bulk and isotopic compositions,9
4068,ODP010YI6,"ODP | Core 195-1202B-16X | Core | collection: Coring. X: The XCB is designed to recover core samples from soft to medium formations.  Typically, the XCB is deployed upon APC refusal, ie., when a formation becomes too stiff to piston core. The XCB relies on rotation of the drill string to advance the hole and cut | ODP Leg 195 | platform: Ship, Joides Resolution",11
34,WDC000014,WDC | GR74-117HP | Core | 128x8 | cm | 0-5 cm = sandy mud or ooze; 5-8 cm = sandy mud or ooze; 9-12 cm = sandy mud or ooze; 13-16 cm = sandy mud or ooze; 24-27 cm = sandy mud or ooze; 27-30 cm = sandy mud or ooze; 38-41 cm = sandy mud or ooze; 46-49 cm = sandy mud or ooze; 56-59 cm = sandy mud or ooze; 60-63 cm = sandy mud or ooze; 68-71 cm = sandy mud or ooze; 72-75 cm = sandy mud or ooze; 120-123 cm = sandy mud or ooze; 124-127 cm = sandy mud or ooze | Original archive closed and sample discarded IMLGS  record imlgs0000316 | GR74 | platform: Ship_ Researcher,12
11616,ODP02NYCJ,"ODP | Sample 175-1087A-7H-1 (110-111 cm.) | Individual Sample | Janus sample_id: 2895 | ODP Leg 175 | platform: Ship, Joides Resolution",11
13236,ODP027UKE,"ODP | Sample 145-883B-63X-2 (115-117 cm.) | Individual Sample | Janus sample_id: 753300 | ODP Leg 145 | platform: Ship, Joides Resolution",11
2358,NEON0160Z,NEO | TEAK.20190731.R2683.E [ 409389 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear punch sample collected from a small mammal for DNA barcoding | Peromyscus maniculatus (Wagner_ 1845),7
15115,ODP023L72,"ODP | Sample 132-810C-2H-2 (65-66 cm.) | Individual Sample | Janus sample_id: 601103 | ODP Leg 132 | platform: Ship, Joides Resolution",11
15232,NHB000L4T,NMNH 115355-00 (MIN) | | Mineral>Mimetite  |  Saint Prix | Mimetite with prixite,5
14900,ODP02TF3G,"ODP | Sample 184-1146C-12H-6 (32-36 cm.) | Individual Sample | Janus sample_id: 1444629 | ODP Leg 184 | platform: Ship, Joides Resolution",11
2893,ODP01CB7E,"ODP | SubSection 125-786B-71R-3-1C (0-142 cm.) | Core Sub-Piece | Core | ODP Leg 125 | platform: Ship, Joides Resolution",11
2608,IEWDR00A5,IEWDR | ECA2_0027_02 | Individual Sample | collection: manual. https://www.pnnl.gov/sites/default/files/media/file/ECA_2020_SedimentSamplingProtocol.pdf | stream | WHONDRS ECA2,12
17223,IEALT002K,IEALT | 395 A 15 R 1 64 71 | Core Piece | Mid-Atlantic Ridge | basalt,10
937,KHR30025M,KHR | P5-843-16 | Grab | large_ complex piece with several arms_ coral on smaller pieces_ most are coralline algae | bank (hydrographic) | Penguin Bank | coral reef fragment | platform: Ship_ R/V Kaimikai-o-Kanaloa | launch: Pisces V_ 3 | P5-843 | Deglacial geochronology,1
396,DSR000SQM,DSR | VM07-015PC_224cm | Core Piece | 0.5 | depth 224-225 cm | Isotopic composition and mineralogy of periplatform carbonate cores from the Bahamas,11
13089,ODP02Q9FC,"ODP | Sample 180-1109A-1H-2 (5-6 cm.) | Individual Sample | Janus sample_id: 119869 | ODP Leg 180 | platform: Ship, Joides Resolution",11
17475,IEACM012D,IEACM | SUMB-8 | | URM2 | Sumburgh | Tooth | Beaker isotope project,1
12794,IEBEG1OI1,V07723 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-29 Ft.,6
15209,NHB002ZO0,NHB | NMNH M12721-00 (MIN) | | Mineral>Pyromorphite  |  Hofsgrund | Pyromorphite,5
13495,ODP017GFO,"ODP | Section Half 79-544B-6H-4-A | Core Section Half | DSDP Leg 79 | platform: Ship, Glomar Challenger",11
2134,NEON018WM,NEO | ABBY.20180607.R1131.F [ 298662 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal and frozen at -80 degrees Celsius | Peromyscus maniculatus Wagner,7
4930,NEON03H98,NEO | WREF.2019.24.AEDSIE.M.A.01 [ 791169 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of vials containing mosquitoes sent to archive facility,7
8103,NHB001SA9,NHB | NMNH 171322-00 (MIN) | | Mineral>Fluorapophyllite | Mine | Savda Quarry  |  Jalgaon | Fluorapophyllite with stilbite and quartz,5
4546,NEON02E5E,NEO | NEON.BET.D05.005778 [ 735825 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Platynus decentis (Say_ 1823),7
7180,IEGZNP020,IEGZN | POS512-02ROV01-18 | | Rock>Igneous>Volcanic>Intermediate | volcano | Paphsanias | andesitic-dacitic | POS512 | Petrology/Geochemistry,10
11019,ODP02N48W,"ODP | Sample 175-1077A-1H-1 (75-77 cm.) | Individual Sample | Janus sample_id: 75270 | ODP Leg 175 | platform: Ship, Joides Resolution",11
8980,IEBEG0X9Q,IEBEG | V07678 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-15 Ft. | Oil or gas exploration,6
17768,ODP02AWUT,"ODP | Sample 154-929A-29X-5 (70-72 cm.) | Individual Sample | Janus sample_id: 949825 | ODP Leg 154 | platform: Ship, Joides Resolution",11
3119,ARF000LN7,ARF | NBP14-02 016 JGC 0290-0292 cm | Core Sub-Piece | 10 | cc | Sect. 1C; 291 cmbsf | depth 290-292 cm | Sabrina Coast_ Antarctica | NBP14-02 | platform: Ship_ R/V Nathaniel B Palmer | Phys. Prop.,12
13784,ODP02RNFR,"ODP | Sample 182-1129C-6H-6 (82-87 cm.) | Individual Sample | Janus sample_id: 161370 | ODP Leg 182 | platform: Ship, Joides Resolution",11
5333,IERVTL1AJ,IERVT | 468 | | From rhizon B; flowed absurdly fast for a rhizon; 60 ml over 30 sec | depth 93.98-106.68 cm | floodplain_ aquifer | SLAC-SFA | 2019 inundation tracer tests,3
1210,IECJCL794,IECJC | AZ_G2825-BGZOB_Pit1-60cm | | collection: Prenart. Prenart Super Quartz suction cups soil water sampler | Soil solution | Mountain | Santa Catalina Mountains | Mount Bigelow | Mt Bigelow ZOB Pedon 1 | Catalina-Jemez Critical Zone Observatory (CZO),3
10098,NHB0004OT,NHB | NMNH 78664-00 (MIN) | | Mineral>Andradite | Mine | Sterling Hill Mine  |  Ogdensburg | Andradite with carbonate,5
17306,NHB001HG5,NMNH 157122-00 (MIN) | | Mineral>Pyrite | Canoas | Pyrite with quartz,5
4045,NEON01V0Z,NEO | DEJU_048-O-33-25-20190625-GA4 [ 313992 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 4 for microbial sequencing analyses,13
1085,IER18013C,IER18 | 018-ER18-SBD50 | | Soil bulk density and texture sample | Mountain | Pumphouse | Meadow_ organic material: plant litter [ENVO:01000628] | Watershed Function SFA | Integrating airborne remote sensing and field campaigns for ecology and Earth system science.,13
11266,ARF000BXE,ARF | DF80 159 PC 0130-0131 cm | Core Sub-Piece | 5 | cc | depth 130-130 cm | Ross Sea | Deep Freeze 1980,12
16108,IEDAI04EE,IEDAI | SEM14/16 | | depth 370-380 CMBS | Paleoenvironmental reconstruction,11
16058,ODP02K07F,"ODP | Sample 167-1011E-13H-4 (129-131 cm.) | Individual Sample | Janus sample_id: 1191649 | ODP Leg 167 | platform: Ship, Joides Resolution",11
7163,UGS0003TZ,Bybell-004698 | | geologicage: Eocene Bashi | near type Bashi on Rte 69_ 1.3 miles north of Campbell | Highway 69_ Bashi Creek | Macrofossils,10
11444,ODP02NPC7,"ODP | Sample 175-1085A-10H-6 (103-106 cm.) | Individual Sample | Janus sample_id: 10291 | ODP Leg 175 | platform: Ship, Joides Resolution",11
10328,ARF0001S6,ARF | DF82-129 PC_Archive | Core Half Round | 20 | cm | Antarctic Peninsula | DF82 | platform: Ship_ USCGC Glacier,12
12116,NHB001QJO,NHB | NMNH 168867-00 (MIN) | | Mineral>Cooperite  |  Stillwater Complex | Cooperite with vysotskite,5
4528,MJC0000EN,MJC | CR-TE6 | | Rock>Igneous>Volcanic | Volcano | Tenorio | lava | Not Applicable | platform: Not Applicable_ Not Applicable | Not Applicable | launch: Not Applicable_ 6 | Not Applicable,10
10434,ODP02M1CO,"ODP | Sample 172-1054B-4H-5 (120-122 cm.) | Individual Sample | Janus sample_id: 1293766 | ODP Leg 172 | platform: Ship, Joides Resolution",11
4072,NEON024KV,NEO | MOAB_046-M-39-23-20191016-GA4 [ 471814 ] | Biology>Macrobiology | Specimen | | collection: Manual. PreservedSpecimen | Interchangeable soil subsample 4 for microbial sequencing analyses,13
9437,ODP01SDPM,"ODP | Sample 104-642B-12H-5 (2-4 cm.) | Individual Sample | sampled in between pmag samples;  Janus sample_id: 510146 | ODP Leg 104 | platform: Ship, Joides Resolution",11
10369,NHB0046RI,NHB | NMNH 72969-2 (PET) | | Rock>Sedimentary | Volcano | Vesuvius  |  Vesuvio | Limestone with augite and biotite,10
6428,ARF0004PU,ARF | NBP98-01 044 JPC _ Sample | Core Half Round | 162 | cm | Ross Sea_ Northern Victoria Land Coast | NBP98-01 | platform: Ship_ R/V Nathaniel B. Palmer,12
3379,ODP01FDGK,"ODP | Section Half 150-903B-6H-3-A | Core Section Half | ODP Leg 150 | platform: Ship, Joides Resolution",11
2635,IEWDR01SY,"IEWDR | SSS018_COT | Individual Sample | collection: Experimental Apparatus. A strip of cotton was put into a tea diffuser, placed in a stream, and then secured with a rock or brick. After 35 days in the stream, it was removed from the stream and tea diffuser and was placed in a vial with 70 percent ethanol.  | Second Spatial Study | stream | Little Naches River | S08 | In stream site | Cotton strip | US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",9
14819,NHB005868,NHB | NMNH 108569-47 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,4
1458,NEON00RRP,NEO | JORN_004.20180822.IB.01 [ 321351 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
6831,NEON063AO,"NEO | [ 929294 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Pinned mosquito voucher collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights conducted every 2-4 weeks for 2 nights. | Aedes vexans (Meigen, 1830)",7
1318,GRD02FVS0,GRD | 110-ST25 | | Rock>Sedimentary | Sedimentary>Sedimentary Structures>Bedding>Lamination | Medium-sized gray sample with thin_ light colored laminations. Original label: 'Lamination and cross-stratification. Mesozoic.' | agenumeric: 65.5-251 Ma,10
1769,IEEXG01DT,IEEXG | K011_AA | Individual Sample | Subsample of EC1_K011_WATER_15ML_FILT | EXCHANGE Campaign 1,3
7780,IEBEG1FN7,IEBEG | V20694 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 4000-10133 Ft. | Oil or gas exploration,10
17174,ODP0290KS,"ODP | Sample 149-897C-61R-1 (50-52 cm.) | Individual Sample | Janus sample_id: 876451 | ODP Leg 149 | platform: Ship, Joides Resolution",11
12010,ODP02OIMN,"ODP | Sample 177-1092A-13H-3 (55-56 cm.) | Individual Sample | Janus sample_id: 43794 | ODP Leg 177 | platform: Ship, Joides Resolution",11
6069,NEON0554A,"NEO | [ 884813 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal for physiological analyses | Peromyscus leucopus (Rafinesque, 1818)",7
14795,ODP01K17X,"ODP | SubSection 172-1063C-11H-1-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 172 | platform: Ship, Joides Resolution",11
2583,NEON016KH,NEO | JORN.20190428.R3444.E [ 460711 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear punch sample collected from a small mammal for DNA barcoding | Dipodomys merriami Mearns_ 1890,7
17549,ODP02TXPX,"ODP | Sample 186-1150B-7R-1 (40-44 cm.) | Individual Sample | Janus sample_id: 1332863 | ODP Leg 186 | platform: Ship, Joides Resolution",11
3609,ODP0105NK,"ODP | Core 80-549*-96R | Core | collection: Coring. R: The RCB is designed to recover core samples from medium to hard formations.  The RCB relies on rotation of the drill string to advance the hole and cut the core.  The core bit trims the sample. | DSDP Leg 80 | platform: Ship, Glomar Challenger",10
3334,ODP000451,"ODP | Core 5-34*-10R | Core | collection: Coring. R: The RCB is designed to recover core samples from medium to hard formations.  The RCB relies on rotation of the drill string to advance the hole and cut the core.  The core bit trims the sample. | DSDP Leg 5 | platform: Ship, Glomar Challenger",10
19182,ODP02M8SD,"ODP | Sample 172-1063B-10H-5 (70-73 cm.) | Individual Sample | Janus sample_id: 1288804 | ODP Leg 172 | platform: Ship, Joides Resolution",11
3562,ODP0103E5,"ODP | Core 68-503A-2H | Core | collection: Coring. H: The APC is a hydraullically actuated piston corer designed to recover undisturbed core samples from soft sediments.  It is designed to be delivered through the drill string to the sediment to be cored whether at the sea floor or hundreds of meters below it | DSDP Leg 68 | platform: Ship, Glomar Challenger",12
5224,IEASH0177,IEASH | 1550-P | | Species (sci): Mixed -see Species comments; Species comments: Plankton_larval Sebastes | Sample part: Whole | depth 400-400 m | Ash sample | Biogeochemistry,7
1475,NEON00L2M,NEO | KONZ_009.20170717.IB.01 [ 245528 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive facility | Invertebrate Bycatch,7
130,NHB0082D6,NHB | NMNH 118326-38 (PET) | | Rock>Igneous | Volcano | Mauna Loa | The coordinates given by the cataloger for this locality (19Â°41'50''N_ 156Â°8'22''W) are ~29 km from the coordinates given in the spreadsheet provided by HVO. I have updated the coordinates to match those from the spreadsheet for field number MH81-21_ which is the only sample attached to this record. | Basalt with olivine,10
19632,IEAEM00ZZ,FS-91-plant-observation | | field observation,14
8442,MGD00061U,MGD | nbp1002037_6 | | geologicage: Not Applicable | Peninsula | AntarcticPeninsula | NBP1002 | platform: Ship_ Nathaniel B. Palmer,3
17810,ARF0002ID,ARF | ELT36-008 PC _ Sample | Core Half Round | 296 | cm | ELT36,12
8952,IE22301CG,IE223 | S11 30-35 | Core Sub-Piece | KN195-03 | platform: Ship_ R/V Knorr | water and solid chemistry/sedimentology/microbiology,12
12167,NHB007YC9,NMNH 117472-47 (PET) | | Rock>Igneous | Volcano | Arenal  |  Cruse outcrop of Arenal-Chato | Tephra,11
17813,ARF0002WX,ARF | ELT47-007B TC _ Sample | Core Half Round | 18 | cm | ELT47,12
5763,ODP01FA45,"ODP | Section Half 150-905A-15H-3-W | Core Section Half | ODP Leg 150 | platform: Ship, Joides Resolution",11
2751,ODP01B12X,"ODP | Section Half 116-718C-27X-1-W | Core Section Half | ODP Leg 116 | platform: Ship, Joides Resolution",11
5770,ODP01FB1J,"ODP | Section 150-905A-59X-7 | Core Section | ODP Leg 150 | platform: Ship, Joides Resolution",11
17102,NHB008223,NHB | NMNH 118302-62 (PET) | | Rock>Metamorphic  |  Metacarbonate-rock,10
10984,IEACM00RO,IEACM | PH81 SK016e | | M2 | Parliament House | Tooth | Sr-Pb-O isotope analysis of archaeological material.,1
18743,NHB002LW4,NMNH G7080-00 (MIN) | | Mineral>Quartz | Unknown | Jasper,5
4602,NEON01A9O,NEO | DCFS.20190626.R5328.F [ 400612 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal for physiological analyses,7
1825,IEAEM00A9,IEAEM | FS-339-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,3
5081,NEON000I1,NEO | MOS.D06.000197 [ 263577 ] | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of individual mosquitoes preserved as vouchers | Aedes vexans (Meigen_ 1830),7
9703,ODP01S144,"ODP | Sample 103-641C-10R-5 (28-29 cm.) | Individual Sample | grey;  Janus sample_id: 493136 | ODP Leg 103 | platform: Ship, Joides Resolution",11
14379,ODP01ENZH,"ODP | Section Half 145-882A-35H-7-W | Core Section Half | ODP Leg 145 | platform: Ship, Joides Resolution",11
3971,NEON01T7H,NEO | TALL_051-M-7.5-36-20180402-GA3 [ 307766 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 3 for microbial sequencing analyses,13
339,EOI00002Y,EOI | J731-HFS-09 | | collection: Sampler:Fluid:HFS. Unfiltered Piston | Unfiltered piston #3. Tmax=141.8 Tavg=140.2 Vol=629 mL T2=58.0. | Sulfide mound | Dependable | Small Spire:Area of good flow on spire. North side of main Dependable structure. Looking south. Above and to the right of Mkr-142. Hdg 181 deg. | TN300 | launch: Jason II_ 2,3
10220,PRR025050,PRR-25050 | | Rock>Igneous | Medium grained_ red weathering_ mauvish [?] diabase. | Blizzard Heights | Dolerite Sill,10
16623,ODP02PH1X,"ODP | Sample 177-1094C-1H-3 (125-127 cm.) | Individual Sample | 4.53;  Janus sample_id: 49982 | ODP Leg 177 | platform: Ship, Joides Resolution",11
10010,NHB003678,NHB | NMNH M22011-00 (MIN) | | Mineral>Analcime | Palmdale And Saugus (Between) | Analcime with natrolite and analcite,5
12550,ODP02PBWW,"ODP | Sample 177-1094B-2H-3 (29-30 cm.) | Individual Sample | ###;  Janus sample_id: 49197 | ODP Leg 177 | platform: Ship, Joides Resolution",11
8760,IEBEG1QFQ,IEBEG | R48248 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-200 Ft. | Oil or gas exploration,6
14791,IEFRA03KF,IEFRA | MD96-2076-tr16T | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,12
1670,IEHVR004M,IEHVR | HVR_166 | Grab | collection: Grab>ROV. Scoop | Rock>Igneous>Volcanic | Â Grey green ash?_ fine pyrite; could be altered deposit or rock | Volcano | Havre | Ash | RR1506 | platform: Ship_ R/V Roger Revelle | launch: Jason2_ 2 | J2-807,11
12163,NHB006PHC,NMNH 116872-68 (PET) | | Rock>Igneous | Volcano | Arenal | Station C | Volcanic ash | Earth Watch 3,11
6803,IEEJT0062,IEEJT | VC-18-FS-04 | Specimen | | Rock>Sedimentary>Carbonate | Vermillion Creek Section_ Sand Wash Basin_ Green River Formation | giant stromatolite,10
19061,NHB0087N1,NHB | NMNH 118343-85 (PET) | | Rock>Sedimentary | Sand,11
12546,NHB006DK9,NHB | NMNH 116066-344 (PET) | | Rock>Igneous  |  Tephra | Costa Rican Volcanic Explosion Project,11
2216,WDC0000O9,WDC | WCC9-22 | Other | .9MG/L AT 1M_ 1.4MG/L AT 10M DEPTH_ .7MG/L AT 20M. | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000216 | WCC9 | platform: Ship_ Ferrel,9
5018,NEON02LH0,NEO | ORNL.20170523.R1706.E [ 749930 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear punch sample collected from a small mammal for DNA barcoding,7
2995,MGD0003SS,MGD | El Salvador: Santa Ana Volcano: crater | | Sample type = Gas Fumarole | geologicage: Not Applicable | Focus Site | CentralAmerica | CentralAmerica:Fischer | platform: NotApplicable_ NotApplicable,3
15340,ODP02UBVO,"ODP | Sample 189-1168A-1H-3 (85-86 cm.) | Individual Sample | Janus sample_id: 1439020 | ODP Leg 189 | platform: Ship, Joides Resolution",11
13653,NHB003A3S,NHB | NMNH R3542-00 (MIN) | Mineral>Phenakite | Phenakite | Individual Sample  |  Chatham,5
16770,ODP02ZZCG,"ODP | Sample 202-1237C-18H-4 (112-114 cm.) | Individual Sample | FOR SAM PTY OCT 2002;  Janus sample_id: 1548284 | ODP Leg 202 | platform: Ship, Joides Resolution",11
10709,ODP02MKRD,"ODP | Sample 172-1063D-8H-6 (40-41 cm.) | Individual Sample | Janus sample_id: 116682 | ODP Leg 172 | platform: Ship, Joides Resolution",11
9464,NHB0045PI,NHB | NMNH 71470 (PET) | Rock>Igneous | Augite andesite | | Mining District | Washoe  |  Sutro Tunnel_ 14_100 Ft. From Mouth,10
17411,ODP02SJR1,"ODP | Sample 184-1146A-35X-7 (5-7 cm.) | Individual Sample | Janus sample_id: 1383005 | ODP Leg 184 | platform: Ship, Joides Resolution",11
4630,NEON00D7P,NEO | NEON.BET.D02.006725 [ 397636 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Chlaenius aestivus Say_ 1823,7
11324,NHB003TDY,NHB | NMNH 28543 (PET) | | Rock>Metamorphic  |  Rr Cut 1/4 Mile Above Bridge Little Androscoggin | Gneiss,10
8688,ODP01QWGK,"ODP | Sample 62-463*-69R-3 (45-47 cm.) | Individual Sample | Janus sample_id: 1434241 | DSDP Leg 62 | platform: Ship, Glomar Challenger",11
11476,ODP01Z9YE,"ODP | Sample 120-748C-27R-1 (85-87 cm.) | Individual Sample | Janus sample_id: 312673 | ODP Leg 120 | platform: Ship, Joides Resolution",11
13133,IERRR01WK,IERRR | CZO1731 | | 5 | g | depth 20-30 cm | LVRD | Luquillo Critical Zone Observatory (CZO),13
14886,NHB003NON,NHB | NMNH S687-00 (MIN) | | Mineral>Other | Unknown | Cesium-deuterated-phosphate,8
18980,ODP030QSJ,"ODP | Sample 204-1251B-36X-6 (15-17 cm.) | Individual Sample | Janus sample_id: 1495738 | ODP Leg 204 | platform: Ship, Joides Resolution",11
18495,NHB007PK2,NHB | NMNH 113024-10 (PET) | Individual Sample  |  Artifact,4
9887,NHB007J8T,NHB | NMNH 118016-1078 (PET) | | Rock>Igneous | Volcano | Cima Lava Field  |  Old Dad Mountains | Gabbro with Al-augite,10
9671,NHB0045I3,NHB | NMNH 71202 (PET) | Rock>Igneous | Hornblende andesite | | Mining District | Washoe  |  2000 Ft. Ene County Hospital,10
655,DSR0005TK,"DSR | RC0011013D | Dredge | Manganese nodules (about 30) ranging in size from 1 cm in diameter rounded nodules to 10x6x3 cm irregular forms. | Mendicino Escarpment. | RC0011 | platform: Ship, Robert Conrad",10
12125,ODP02OTAN,"ODP | Sample 177-1088B-1H-3 (62-64 cm.) | Individual Sample | Janus sample_id: 102783 | ODP Leg 177 | platform: Ship, Joides Resolution",11
15491,IEDAI01WF,IEDAI | IASO/32 XRF | | depth 155-160 CMBS | Paleoenvironmental reconstruciton,11
2589,NEON004X9,NEO | MOS.D05.000516; UNDE_073.20180705.0745 [ 288106 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | List of individual mosquitoes preserved as vouchers | Aedes cinereus Meigen_ 1818,7
5605,NEON04DX4,NEO | UKFS_043-M-30-34.5-20210329-GA3 [ 833228 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 3 for microbial sequencing analyses | Soil Microbe,13
5564,ODP01E26M,"ODP | SubSection 138-851B-3H-1-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 138 | platform: Ship, Joides Resolution",11
7899,IEBEG1680,IEBEG | R30406 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 3085-5615 Ft. | Oil or gas exploration,10
3350,NEON01PR9,NEO | NOGP_005-M-12.5-39.5-20190423-GA4 [ 295400 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Interchangeable soil subsample 4 for microbial sequencing analyses,13
8485,ODP02BYHU,"ODP | Sample 155-941A-17X-5 (7-8 cm.) | Individual Sample | Janus sample_id: 1010380 | ODP Leg 155 | platform: Ship, Joides Resolution",11
5020,NEON02LGE,NEO | OSBS.20170523.L0501.E [ 749908 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Ear punch sample collected from a small mammal for DNA barcoding,7
9790,ODP02K3BI,"ODP | Sample 167-1019E-2H-6 (110-111 cm.) | Individual Sample | Janus sample_id: 1316280 | ODP Leg 167 | platform: Ship, Joides Resolution",11
3223,NEON00GTM,NEO | NEON.BET.D11.001229 [ 476909 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Pasimachus californicus Chaudoir_ 1850,7
14971,IEDAI01JZ,IEDAI | IAM6/IA-GF 450 | | depth 450-450 CMBS | Paleoenvironmental reconstruciton,11
13693,ODP020J5G,"ODP | Sample 123-766A-55R-2 (74-76 cm.) | Individual Sample | Janus sample_id: 1474539 | ODP Leg 123 | platform: Ship, Joides Resolution",11
4309,NEON03MAU,NEO | NEON.BET.D14.001029 [ 803904 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Individual Carabid identified and pinned | Discoderus robustus G.Horn_ 1883,7
6706,ODP023UM4,"ODP | Sample 133-817A-2H-3 (35-37 cm.) | Individual Sample | Janus sample_id: 472744 | ODP Leg 133 | platform: Ship, Joides Resolution",11
3615,IEPGG06IN,IEPGG | AS-6Ac | Slab | Individual Sample | CAJA-65_A,10
14035,IEDEE00K2,IEDEE | IT-466 | | Rock>Igneous>Volcanic | geologicage: Holocene ThjÃ³fahraun | basalt,10
449,NEON066VP,"NEO | [ 933950 ] | Specimen | Individual Sample | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Pinned mosquito voucher collected as part of the NEON CO2 mosquito trapping protocol conducted every 2-4 weeks for 2 nights conducted every 2-4 weeks for 2 nights. | Psorophora horrida (Dyar & Knab, 1908)",7
9020,ODP01RML0,"ODP | Sample 101-628A-7H-3 (50-52 cm.) | Individual Sample | Janus sample_id: 1170 | ODP Leg 101 | platform: Ship, Joides Resolution",11
10092,ODP02KXTX,"ODP | Sample 171-1050A-2H-5 (100-105 cm.) | Individual Sample | Janus sample_id: 25342 | ODP Leg 171 | platform: Ship, Joides Resolution",11
11471,ODP013IL0,"ODP | Section 31-299*-25R-2 | Core Section | DSDP Leg 31 | platform: Ship, Glomar Challenger",11
19381,IECUR004U,IECUR | 182473M | Rock Powder | Magnetic separate.,8
18303,NHB0079HG,NHB | NMNH 117693-502 (PET) | | Volcano | Koolau  |  Xenolith,10
8739,IEBEG1EE4,IEBEG | R41585 | Cuttings | This is a sample of type CUTTINGS from an oil or gas well. | depth 0-900 Ft. | Oil or gas exploration,6
19519,ODP032F9K,"ODP | Sample 208-1263B-27X-6 (80-81 cm.) | Individual Sample | Janus sample_id: 216686 | ODP Leg 208 | platform: Ship, Joides Resolution",11
14468,NHB004I5T,NMNH 87832-94 (PET) | Individual Sample  |  Braser Canyon Crawford Mt | Unidentified,4
15535,ODP02V8O2,"ODP | Sample 189-1171D-42R-2 (36-37 cm.) | Individual Sample | Janus sample_id: 1375805 | ODP Leg 189 | platform: Ship, Joides Resolution",11
16877,NHB004NUZ,NMNH 89108-282 (PET) | | Rock>Igneous  |  Monzonite porphyry with pyrite,10
9666,NHB0013XV,NHB | NMNH 139505-00 (MIN) | | Mineral>Acanthite  |  Rd From San Felipe To Arriaga | Acanthite with argentite and calcite,5
535,NHB005XAC,NMNH 113602-12 (PET) | | Marquette Iron Range | Eyeballed the bounding box for the Marquette Iron Rangefrom a map titled 'The Iron Ranges of the Lake Superior Region' (https://en.wikipedia.org/wiki/Marquette_Iron_Range). Mindat gives similar coordinates for this locality (https://www.mindat.org/loc-125421.html). | Unidentified,4
